prefix,country_code,region_code,city,postal
37.1.160.0/24,IT,,,
37.1.161.0/26,GB,,,
37.1.161.64/29,FR,,,
37.1.161.72/29,ES,,,
37.1.161.80/29,DE,,,
37.1.162.0/24,IT,,,
37.1.163.0/26,GB,,,
37.1.163.64/26,FR,,,
37.1.163.128/25,MA,,,
37.1.164.0/25,IT,,,
37.1.164.128/26,IT,,,
37.1.164.192/27,IT,,,
37.1.164.224/27,IT,,,
37.1.165.0/25,IT,,,
37.1.165.128/26,PL,,,
37.1.165.192/26,IT,,,
37.1.191.0/28,NL,,,
37.1.191.16/28,CH,,,
37.1.191.32/28,CH,,,
37.1.191.48/28,IT,,,
37.1.191.64/28,IT,,,
37.1.191.80/28,DE,,,
37.1.191.96/28,DE,,,
37.19.97.0/24,IE,,,
37.19.98.0/25,FR,,,
37.19.98.128/27,IE,,,
37.19.98.160/27,IT,,,
37.19.98.192/27,GB,,,
37.19.98.224/28,IE,,,
37.19.98.240/28,ES,,,
185.15.32.0/24,FR,,,
185.15.33.0/26,ES,,,
185.15.33.64/26,FR,,,
185.15.33.128/26,FR,,,
185.15.33.192/26,ES,,,
185.15.34.0/24,IT,,,
185.15.100.32/29,RO,,,
185.15.100.40/29,RO,,,
185.15.100.48/29,RO,,,
185.15.100.56/29,RO,,,
185.15.100.64/29,IE,,,
185.15.100.72/29,IE,,,
185.15.100.80/29,IE,,,
185.15.100.88/29,IE,,,
185.15.100.96/29,ES,,,
185.15.100.104/29,ES,,,
185.15.100.112/29,ES,,,
185.15.100.120/29,ES,,,
185.15.100.128/29,ES,,,
185.15.100.136/29,ES,,,
185.15.100.144/29,ES,,,
185.15.100.152/30,ES,,,
185.21.0.0/27,BH,,,
185.21.0.32/27,LU,,,
185.21.0.64/27,FR,,,
185.21.0.96/27,BE,,,
185.21.0.128/27,NL,,,
185.21.0.160/28,NL,,,
185.21.0.176/28,DE,,,
185.21.0.192/28,LU,,,
185.21.0.208/28,FR,,,
185.21.0.224/28,BE,,,
185.21.0.240/28,GB,,,
185.21.1.0/24,IT,,,
185.21.2.0/25,BH,,,
185.21.2.128/25,IT,,,
185.21.3.0/25,DE,,,
185.21.3.128/28,GB,,,
185.21.3.144/28,FR,,,
185.21.3.160/28,FR,,,
185.21.3.176/28,ES,,,
185.21.3.192/28,ES,,,
185.21.3.208/28,IE,,,
185.21.3.224/28,IE,,,
185.21.3.240/28,NL,,,
185.84.125.0/24,GR,,,
185.84.126.0/25,GR,,,
185.84.126.128/25,CY,,,
